run number,gen number,min,avg,max
0,0,1,6.37,9
0,1,1,7.73,10
0,2,1,8.7,9
0,3,1,8.84,11
0,4,1,8.95,10
0,5,1,8.98,9
0,6,1,8.99,9
0,7,1,8.98,9
0,8,1,9.0,9
0,9,1,9.0,9
0,10,1,9.02,10
0,11,1,9.21,12
0,12,1,9.59,10
0,13,1,9.8,10
0,14,1,9.9,10
0,15,1,9.98,10
0,16,1,9.99,10
0,17,1,9.96,10
0,18,1,9.98,10
0,19,1,10.0,10
0,20,1,10.0,10
0,21,1,10.0,10
0,22,1,10.0,10
0,23,1,10.0,10
0,24,1,10.0,10
0,25,1,10.01,11
0,26,1,10.0,10
0,27,1,10.0,10
0,28,1,10.0,10
0,29,1,10.0,10
0,30,1,10.02,12
0,31,1,10.0,10
0,32,1,10.0,10
0,33,1,10.0,10
0,34,1,10.0,10
0,35,1,10.0,10
0,36,1,10.0,10
0,37,1,10.0,10
0,38,1,10.0,10
0,39,1,10.0,10
0,40,1,10.0,10
0,41,1,10.0,10
0,42,1,10.0,10
0,43,1,10.02,11
0,44,1,10.0,10
0,45,1,10.0,10
0,46,1,10.0,10
0,47,1,10.01,11
0,48,1,10.0,10
0,49,1,10.0,10
0,50,1,10.0,10
0,51,1,10.0,10
0,52,1,10.0,10
0,53,1,10.0,10
0,54,1,10.0,10
0,55,1,10.0,10
0,56,1,10.01,11
0,57,1,10.0,10
0,58,1,10.0,10
0,59,1,10.0,10
0,60,1,10.0,10
0,61,1,10.01,11
0,62,1,10.0,10
0,63,1,10.0,10
0,64,1,10.0,10
0,65,1,10.0,10
0,66,1,10.0,10
0,67,1,10.0,10
0,68,1,10.01,11
0,69,1,10.0,10
0,70,1,10.0,10
0,71,1,10.0,10
0,72,1,10.0,10
0,73,1,10.0,10
0,74,1,10.0,10
0,75,1,10.0,10
0,76,1,10.03,12
0,77,1,10.83,77
0,78,1,10.61,11
0,79,1,10.77,11
0,80,1,11.85,104
0,81,1,10.97,11
0,82,1,10.97,11
0,83,1,11.0,11
0,84,1,11.0,11
0,85,1,11.0,11
0,86,1,11.0,11
0,87,1,11.0,11
0,88,1,11.0,11
0,89,1,11.0,11
0,90,1,11.0,11
0,91,1,11.0,11
0,92,1,11.0,11
0,93,1,11.0,11
0,94,1,11.0,11
0,95,1,11.0,11
0,96,1,11.0,11
0,97,1,11.0,11
0,98,1,11.0,11
0,99,1,11.0,11
1,0,1,6.41,9
1,1,1,8.0,10
1,2,1,8.69,9
1,3,1,8.88,10
1,4,1,8.99,9
1,5,1,8.99,9
1,6,1,9.0,9
1,7,1,9.0,9
1,8,1,9.01,10
1,9,1,9.0,9
1,10,1,9.01,10
1,11,1,9.01,10
1,12,1,9.01,10
1,13,1,9.0,9
1,14,1,9.0,9
1,15,1,9.01,10
1,16,1,9.02,10
1,17,1,9.03,10
1,18,1,9.16,10
1,19,1,9.6,10
1,20,1,9.81,10
1,21,1,9.89,10
1,22,1,9.9,10
1,23,1,9.9,10
1,24,1,9.95,10
1,25,1,9.99,10
1,26,1,10.0,10
1,27,1,10.0,10
1,28,1,10.0,10
1,29,1,10.0,10
1,30,1,10.0,10
1,31,1,10.0,10
1,32,1,10.0,10
1,33,1,10.0,10
1,34,1,10.01,11
1,35,1,10.0,10
1,36,1,10.0,10
1,37,1,10.0,10
1,38,1,10.0,10
1,39,1,10.87,97
1,40,1,10.0,10
1,41,1,10.0,10
1,42,1,10.0,10
1,43,1,10.0,10
1,44,1,10.0,10
1,45,1,10.01,11
1,46,1,10.0,10
1,47,1,10.0,10
1,48,1,10.0,10
1,49,1,10.0,10
1,50,1,10.0,10
1,51,1,10.0,10
1,52,1,10.0,10
1,53,1,10.0,10
1,54,1,10.0,10
1,55,1,10.0,10
1,56,1,10.0,10
1,57,1,10.0,10
1,58,1,10.0,10
1,59,1,10.01,11
1,60,1,10.0,10
1,61,1,10.0,10
1,62,1,10.0,10
1,63,1,10.0,10
1,64,1,10.0,10
1,65,1,10.0,10
1,66,1,10.0,10
1,67,1,10.43,53
1,68,1,10.0,10
1,69,1,10.0,10
1,70,1,10.01,11
1,71,1,10.0,10
1,72,1,10.0,10
1,73,1,10.0,10
1,74,1,10.0,10
1,75,1,10.31,41
1,76,1,10.0,10
1,77,1,10.01,11
1,78,1,10.0,10
1,79,1,10.0,10
1,80,1,10.0,10
1,81,1,10.0,10
1,82,1,10.0,10
1,83,1,10.0,10
1,84,1,10.0,10
1,85,1,10.0,10
1,86,1,10.0,10
1,87,1,10.0,10
1,88,1,10.0,10
1,89,1,10.0,10
1,90,1,10.53,63
1,91,1,10.0,10
1,92,1,10.0,10
1,93,1,11.02,112
1,94,1,10.0,10
1,95,1,10.0,10
1,96,1,10.0,10
1,97,1,10.01,11
1,98,1,10.0,10
1,99,1,10.0,10
2,0,1,6.49,10
2,1,1,7.82,9
2,2,1,8.63,11
2,3,1,9.62,81
2,4,1,9.52,10
2,5,1,9.79,10
2,6,1,9.9,10
2,7,1,9.93,10
2,8,1,9.98,10
2,9,1,9.99,10
2,10,1,10.0,10
2,11,1,10.0,10
2,12,1,10.0,10
2,13,1,10.0,10
2,14,1,10.0,10
2,15,1,10.0,10
2,16,1,10.0,10
2,17,1,10.0,10
2,18,1,10.0,10
2,19,1,10.0,10
2,20,1,10.0,10
2,21,1,10.01,11
2,22,1,10.0,10
2,23,1,10.0,10
2,24,1,10.0,10
2,25,1,10.0,10
2,26,1,10.0,10
2,27,1,10.0,10
2,28,1,10.0,10
2,29,1,10.0,10
2,30,1,10.0,10
2,31,1,10.0,10
2,32,1,10.0,10
2,33,1,10.0,10
2,34,1,10.0,10
2,35,1,10.0,10
2,36,1,10.0,10
2,37,1,10.0,10
2,38,1,10.0,10
2,39,1,10.0,10
2,40,1,10.0,10
2,41,1,10.0,10
2,42,1,10.0,10
2,43,1,10.0,10
2,44,1,10.0,10
2,45,1,10.0,10
2,46,1,11.05,115
2,47,1,10.0,10
2,48,1,10.0,10
2,49,1,10.0,10
2,50,1,10.0,10
2,51,1,10.0,10
2,52,1,10.0,10
2,53,1,10.0,10
2,54,1,10.0,10
2,55,1,10.0,10
2,56,1,10.0,10
2,57,1,10.0,10
2,58,1,10.0,10
2,59,1,10.0,10
2,60,1,10.0,10
2,61,1,10.0,10
2,62,1,10.0,10
2,63,1,10.0,10
2,64,1,10.0,10
2,65,1,10.0,10
2,66,1,10.0,10
2,67,1,10.0,10
2,68,1,10.0,10
2,69,1,10.0,10
2,70,1,10.0,10
2,71,1,10.0,10
2,72,1,10.0,10
2,73,1,10.0,10
2,74,1,10.0,10
2,75,1,10.0,10
2,76,1,10.0,10
2,77,1,10.02,11
2,78,1,10.0,10
2,79,1,10.02,12
2,80,1,10.0,10
2,81,1,10.0,10
2,82,1,10.01,11
2,83,1,10.0,10
2,84,1,10.0,10
2,85,1,10.0,10
2,86,1,10.0,10
2,87,1,10.0,10
2,88,1,10.0,10
2,89,1,10.39,49
2,90,1,10.0,10
2,91,1,10.0,10
2,92,1,10.0,10
2,93,1,10.0,10
2,94,1,10.0,10
2,95,1,10.0,10
2,96,1,10.0,10
2,97,1,10.0,10
2,98,1,10.0,10
2,99,1,10.0,10
3,0,1,7.2,111
3,1,1,8.06,10
3,2,1,8.78,10
3,3,1,8.94,9
3,4,1,9.02,11
3,5,1,9.02,11
3,6,1,9.0,9
3,7,1,9.01,10
3,8,1,9.01,10
3,9,1,9.65,74
3,10,1,9.01,10
3,11,1,9.0,9
3,12,1,9.0,9
3,13,1,9.01,10
3,14,1,9.0,9
3,15,1,9.0,9
3,16,1,9.0,9
3,17,1,9.0,9
3,18,1,9.02,10
3,19,1,9.0,9
3,20,1,9.0,9
3,21,1,9.0,9
3,22,1,9.0,9
3,23,1,9.01,10
3,24,1,9.01,10
3,25,1,9.0,9
3,26,1,9.02,10
3,27,1,9.01,10
3,28,1,9.01,10
3,29,1,9.0,9
3,30,1,9.0,9
3,31,1,9.0,9
3,32,1,9.0,9
3,33,1,9.01,10
3,34,1,9.0,9
3,35,1,9.01,10
3,36,1,9.0,9
3,37,1,9.0,9
3,38,1,9.04,10
3,39,1,9.16,10
3,40,1,9.6,10
3,41,1,9.78,10
3,42,1,9.87,10
3,43,1,9.98,10
3,44,1,10.0,10
3,45,1,10.0,10
3,46,1,10.0,10
3,47,1,10.0,10
3,48,1,10.0,10
3,49,1,10.0,10
3,50,1,10.0,10
3,51,1,10.81,91
3,52,1,10.0,10
3,53,1,10.0,10
3,54,1,10.0,10
3,55,1,10.0,10
3,56,1,10.0,10
3,57,1,10.0,10
3,58,1,10.0,10
3,59,1,10.0,10
3,60,1,10.0,10
3,61,1,10.0,10
3,62,1,10.0,10
3,63,1,10.0,10
3,64,1,10.0,10
3,65,1,10.0,10
3,66,1,10.0,10
3,67,1,10.01,11
3,68,1,10.0,10
3,69,1,10.0,10
3,70,1,10.0,10
3,71,1,10.0,10
3,72,1,10.0,10
3,73,1,10.0,10
3,74,1,10.0,10
3,75,1,10.0,10
3,76,1,10.0,10
3,77,1,10.0,10
3,78,1,10.0,10
3,79,1,10.0,10
3,80,1,10.0,10
3,81,1,10.0,10
3,82,1,10.0,10
3,83,1,10.0,10
3,84,1,10.0,10
3,85,1,10.0,10
3,86,1,10.0,10
3,87,1,10.0,10
3,88,1,10.0,10
3,89,1,10.01,11
3,90,1,10.0,10
3,91,1,10.0,10
3,92,1,10.0,10
3,93,1,10.0,10
3,94,1,10.0,10
3,95,1,10.0,10
3,96,1,10.0,10
3,97,1,10.0,10
3,98,1,10.0,10
3,99,1,10.51,61
4,0,1,6.35,10
4,1,1,7.97,10
4,2,1,8.57,10
4,3,1,8.8,10
4,4,1,9.05,10
4,5,1,9.55,11
4,6,1,9.82,10
4,7,1,9.9,10
4,8,1,9.92,10
4,9,1,9.94,10
4,10,1,9.98,10
4,11,1,9.99,10
4,12,1,9.99,10
4,13,1,9.99,10
4,14,1,10.0,10
4,15,1,10.01,11
4,16,1,10.0,10
4,17,1,10.0,10
4,18,1,10.02,12
4,19,1,10.0,10
4,20,1,10.43,53
4,21,1,10.0,10
4,22,1,10.0,10
4,23,1,10.0,10
4,24,1,10.0,10
4,25,1,10.0,10
4,26,1,10.0,10
4,27,1,10.0,10
4,28,1,10.0,10
4,29,1,10.0,10
4,30,1,10.0,10
4,31,1,10.0,10
4,32,1,10.0,10
